
TracePro Release: 7 3 4 
Incident Ray Table for 

Linear Units in millimeters
Data for screen Surface 1
Data generated at 14:01:33 October 07, 2025

Ray     	Start   	Split   
Number  	Number  	Number  	Type        	Hist        	Inc Flux      	Abso Flux     	X Pos.        	Y Pos.        	Z Pos.        	X Vec.        	Y Vec.        	Z Vec.        	X Norm        	Y Norm        	Z Norm        	S0            	S1            	S2            	S3            	DegOfPol      	ElliRatio     	X MajAxis     	Y MajAxis     	Z MajAxis     	
Wavelength = 0.5 (Source: mysource)
      81	      81	       5	    SpecTran	      NoInfo	      0.855783	      0.855783	      -5.05475	       2.73048	     -0.290185	     -0.868528	      0.495154	    -0.0219522	      0.788011	     -0.615661	             0	      0.855783	             0	             0	             0	             0	             0	             0	             0	             0	
      82	      82	       5	    SpecTran	      NoInfo	       0.85581	       0.85581	      -4.37383	       3.60202	      0.160283	     -0.790954	       0.61105	     0.0317764	      0.788011	     -0.615661	             0	       0.85581	             0	             0	             0	             0	             0	             0	             0	             0	
      83	      83	       5	    SpecTran	      NoInfo	      0.855803	      0.855803	      -3.86534	       4.25286	      0.485696	     -0.744941	      0.663401	     0.0704409	      0.788011	     -0.615661	             0	      0.855803	             0	             0	             0	             0	             0	             0	             0	             0	
      84	      84	       5	    SpecTran	      NoInfo	      0.855746	      0.855746	      -3.94313	        4.1533	      -1.44199	     -0.736981	      0.652301	     -0.177093	      0.788011	     -0.615661	             0	      0.855746	             0	             0	             0	             0	             0	             0	             0	             0	
      85	      85	       5	    SpecTran	      NoInfo	      0.855597	      0.855597	      -4.89594	       2.93375	      -1.78574	     -0.840747	      0.493078	      -0.22365	      0.788011	     -0.615661	             0	      0.855597	             0	             0	             0	             0	             0	             0	             0	             0	
      86	      86	       5	    SpecTran	      NoInfo	      0.133464	      0.133464	      -3.38485	       4.86786	     0.0897195	     -0.675846	      0.736978	    0.00976283	      0.788011	     -0.615661	             0	      0.133464	             0	             0	             0	             0	             0	             0	             0	             0	
      87	      87	       5	    SpecTran	      NoInfo	     0.0813379	     0.0813379	      -3.06266	       5.28023	      0.808767	     -0.619549	      0.776736	      0.113315	      0.788011	     -0.615661	             0	     0.0813379	             0	             0	             0	             0	             0	             0	             0	             0	
      88	      88	       5	    SpecTran	      NoInfo	      0.424297	      0.424297	      -3.69478	       4.47117	      -1.28502	     -0.720825	      0.674678	      -0.15881	      0.788011	     -0.615661	             0	      0.424297	             0	             0	             0	             0	             0	             0	             0	             0	
      89	      89	       5	    SpecTran	      NoInfo	      0.148347	      0.148347	      -3.36215	       4.89692	      0.711283	     -0.680381	      0.728442	     0.0803381	      0.788011	     -0.615661	             0	      0.148347	             0	             0	             0	             0	             0	             0	             0	             0	
      90	      90	       5	    SpecTran	      NoInfo	      0.168801	      0.168801	       -3.5067	        4.7119	      0.543709	     -0.689613	      0.719773	     0.0797561	      0.788011	     -0.615661	             0	      0.168801	             0	             0	             0	             0	             0	             0	             0	             0	
      91	      91	       5	    SpecTran	      NoInfo	      0.855712	      0.855712	      -5.11582	       2.65232	      0.961426	     -0.870891	      0.473175	      0.132871	      0.788011	     -0.615661	             0	      0.855712	             0	             0	             0	             0	             0	             0	             0	             0	
      92	      92	       5	    SpecTran	      NoInfo	      0.855755	      0.855755	      -5.17477	       2.57687	      0.732868	     -0.874374	      0.478671	     0.0796493	      0.788011	     -0.615661	             0	      0.855755	             0	             0	             0	             0	             0	             0	             0	             0	
      93	      93	       5	    SpecTran	      NoInfo	      0.855766	      0.855766	      -5.07471	       2.70493	      0.634168	     -0.863717	      0.495445	     0.0923467	      0.788011	     -0.615661	             0	      0.855766	             0	             0	             0	             0	             0	             0	             0	             0	
      94	      94	       5	    SpecTran	      NoInfo	     0.0995341	     0.0995341	      -3.17951	       5.13067	      -1.31129	     -0.635109	      0.756858	     -0.154282	      0.788011	     -0.615661	             0	     0.0995341	             0	             0	             0	             0	             0	             0	             0	             0	
      95	      95	       5	    SpecTran	      NoInfo	      0.530593	      0.530593	      -3.93097	       4.16886	     -0.889986	     -0.734216	      0.671716	    -0.0986147	      0.788011	     -0.615661	             0	      0.530593	             0	             0	             0	             0	             0	             0	             0	             0	
      96	      96	       5	    SpecTran	      NoInfo	     0.0935352	     0.0935352	      -3.06978	       5.27113	     -0.570333	      -0.64027	       0.76525	    -0.0666806	      0.788011	     -0.615661	             0	     0.0935352	             0	             0	             0	             0	             0	             0	             0	             0	
      97	      97	       5	    SpecTran	      NoInfo	      0.855663	      0.855663	      -5.41292	       2.27205	       0.16335	     -0.908624	      0.415994	     0.0367551	      0.788011	     -0.615661	             0	      0.855663	             0	             0	             0	             0	             0	             0	             0	             0	
      98	      98	       5	    SpecTran	      NoInfo	      0.855781	      0.855781	      -4.89627	       2.93333	      0.610531	     -0.849809	      0.518305	     0.0958386	      0.788011	     -0.615661	             0	      0.855781	             0	             0	             0	             0	             0	             0	             0	             0	
      99	      99	       5	    SpecTran	      NoInfo	      0.855809	      0.855809	       -4.4031	       3.56456	      0.352346	     -0.806329	      0.590733	      0.029463	      0.788011	     -0.615661	             0	      0.855809	             0	             0	             0	             0	             0	             0	             0	             0	
     100	     100	       5	    SpecTran	      NoInfo	      0.855775	      0.855775	      -4.13329	       3.90989	      -1.24912	     -0.761427	      0.629429	     -0.155076	      0.788011	     -0.615661	             0	      0.855775	             0	             0	             0	             0	             0	             0	             0	             0	
     101	     101	       5	    SpecTran	      NoInfo	      0.855803	      0.855803	      -3.83109	        4.2967	     -0.673642	     -0.742433	      0.666806	    -0.0645158	      0.788011	     -0.615661	             0	      0.855803	             0	             0	             0	             0	             0	             0	             0	             0	
     102	     102	       5	    SpecTran	      NoInfo	      0.110726	      0.110726	      -3.28106	        5.0007	     -0.589858	     -0.657805	      0.751075	    -0.0563806	      0.788011	     -0.615661	             0	      0.110726	             0	             0	             0	             0	             0	             0	             0	             0	
     103	     103	       5	    SpecTran	      NoInfo	      0.855795	      0.855795	      -4.83075	       3.01719	      0.445306	     -0.852003	      0.521603	     0.0449554	      0.788011	     -0.615661	             0	      0.855795	             0	             0	             0	             0	             0	             0	             0	             0	
     104	     104	       5	    SpecTran	      NoInfo	      0.855619	      0.855619	      -5.46785	       2.20174	     -0.705342	     -0.911608	      0.405493	    -0.0674287	      0.788011	     -0.615661	             0	      0.855619	             0	             0	             0	             0	             0	             0	             0	             0	
     105	     105	       5	    SpecTran	      NoInfo	      0.855798	      0.855798	      -4.74102	       3.13204	     -0.224806	     -0.852162	      0.523144	    -0.0118849	      0.788011	     -0.615661	             0	      0.855798	             0	             0	             0	             0	             0	             0	             0	             0	
     106	     106	       5	    SpecTran	      NoInfo	      0.855809	      0.855809	      -4.32541	         3.664	      0.446669	     -0.788602	      0.612796	     0.0508691	      0.788011	     -0.615661	             0	      0.855809	             0	             0	             0	             0	             0	             0	             0	             0	
